Date,Adj Close
2020-01-02,298.5786438
2020-01-03,296.3177795
2020-01-06,297.4483032
2020-01-07,296.6117859
2020-01-08,298.192749
2020-01-09,300.2145691
2020-01-10,299.3506775
2020-01-13,301.4094543
2020-01-14,300.9498596
2020-01-15,301.6299744
2020-01-16,304.1390076
2020-01-17,305.0857544
2020-01-21,304.4882202
2020-01-22,304.5250244
2020-01-23,304.8743286
2020-01-24,302.1630249
2020-01-27,297.3194885
2020-01-28,300.4352112
2020-01-29,300.1870422
2020-01-30,301.1611633
2020-01-31,295.6927795
2020-02-03,297.8893738
2020-02-04,302.4295654
2020-02-05,305.9219971
2020-02-06,306.9513855
2020-02-07,305.3154297
2020-02-10,307.5948792
2020-02-11,308.1278381
2020-02-12,310.1130371
2020-02-13,309.782135
2020-02-14,310.2784729
2020-02-18,309.4788818
2020-02-19,310.9585571
2020-02-20,309.6810913
2020-02-21,306.4918823
2020-02-24,296.3270264
2020-02-25,287.3475647
2020-02-26,286.2907104
2020-02-27,273.4328918
2020-02-28,272.2839661
2020-03-02,284.0756226
2020-03-03,275.941864
2020-03-04,287.5406799
2020-03-05,277.9821472
2020-03-06,273.3869324
2020-03-09,252.0368958
2020-03-10,265.0785828
2020-03-11,252.1563568
2020-03-12,228.0307465
2020-03-13,247.5242462
2020-03-16,220.4391937
2020-03-17,232.3412323
2020-03-18,220.5771027
2020-03-19,221.0457916
2020-03-20,211.5200043
2020-03-23,206.1118317
2020-03-24,224.7862396
2020-03-25,228.1513214
2020-03-26,241.473053
2020-03-27,234.2805939
2020-03-30,241.8890839
2020-03-31,238.2835846
2020-04-01,227.5596466
2020-04-02,232.8107147
2020-04-03,229.4456329
2020-04-06,244.8565521
2020-04-07,245.1061859
2020-04-08,253.3340912
2020-04-09,257.1891479
2020-04-13,254.8409424
2020-04-14,262.3569031
2020-04-15,256.7822571
2020-04-16,258.0211182
2020-04-17,264.9916992
2020-04-20,260.3230591
2020-04-21,252.4187927
2020-04-22,258.0211182
2020-04-23,258.0026245
2020-04-24,261.5988159
2020-04-27,265.3706665
2020-04-28,264.1504517
2020-04-29,271.0654297
2020-04-30,268.5415955
2020-05-01,261.4324646
2020-05-04,262.1534729
2020-05-05,264.5756531
2020-05-06,262.7822571
2020-05-07,265.9531555
2020-05-08,270.3536987
2020-05-11,270.4091492
2020-05-12,265.0194092
2020-05-13,260.3323059
2020-05-14,263.4478149
2020-05-15,264.658905
2020-05-18,272.7202454
2020-05-19,269.9191895
2020-05-20,274.5045166
2020-05-21,272.609375
2020-05-22,273.1271057
2020-05-26,276.4921265
2020-05-27,280.6060791
2020-05-28,280.0884094
2020-05-29,281.3364563
2020-06-01,282.4734802
2020-06-02,284.812439
2020-06-03,288.6028748
2020-06-04,287.8446655
2020-06-05,295.2220154
2020-06-08,298.7905273
2020-06-09,296.562561
2020-06-10,294.9076843
2020-06-11,277.9065857
2020-06-12,281.2346497
2020-06-15,283.860199
2020-06-16,289.3238525
2020-06-17,288.1221008
2020-06-18,288.2329712
2020-06-19,286.5858154
2020-06-22,288.4243164
2020-06-23,289.7520447
2020-06-24,282.3608704
2020-06-25,285.3880005
2020-06-26,278.6095886
2020-06-29,282.7044373
2020-06-30,286.3256836
2020-07-01,288.3313904
2020-07-02,289.91922
2020-07-06,294.3947754
2020-07-07,291.3584595
2020-07-08,293.5869446
2020-07-09,291.9156494
2020-07-10,294.8962097
2020-07-13,292.3427429
2020-07-14,296.1311646
2020-07-15,298.8518677
2020-07-16,297.8676758
2020-07-17,298.7311401
2020-07-20,301.1453247
2020-07-21,301.7860107
2020-07-22,303.5038452
2020-07-23,299.8824463
2020-07-24,297.9512329
2020-07-27,300.1239624
2020-07-28,298.2204285
2020-07-29,301.8881836
2020-07-30,300.8110352
2020-07-31,303.1880493
2020-08-03,305.2959595
2020-08-04,306.4751587
2020-08-05,308.3786926
2020-08-06,310.4400024
2020-08-07,310.6628418
2020-08-10,311.5914307
2020-08-11,309.0193787
2020-08-12,313.3278198
2020-08-13,312.7613831
2020-08-14,312.7706909
2020-08-17,313.7643127
2020-08-18,314.4420471
2020-08-19,313.1328735
2020-08-20,314.1078491
2020-08-21,315.2220459
2020-08-24,318.4162292
2020-08-25,319.5304871
2020-08-26,322.7339783
2020-08-27,323.4396667
2020-08-28,325.5288696
2020-08-31,324.3496094
2020-09-01,327.40448
2020-09-02,332.1401672
2020-09-03,320.7098083
2020-09-04,318.0912781
2020-09-08,309.4000244
2020-09-09,315.5099182
2020-09-10,310.0315552
2020-09-11,310.1893005
2020-09-14,314.2749023
2020-09-15,315.8627625
2020-09-16,314.6092834
2020-09-17,311.8421936
2020-09-18,308.2520447
2020-09-21,304.821228
2020-09-22,307.9256897
2020-09-23,300.784668
2020-09-24,301.5863647
2020-09-25,306.4620361
2020-09-28,311.5522156
2020-09-29,309.8555298
2020-09-30,312.204834
2020-10-01,314.209198
